SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,Home or Road,Adversary,Adversary Name,Game Score
22024,1630595,22400455,2025-01-01,DET vs. ORL,W,34,7,14,0.5,4,6,0.667,1,2,0.5,1,7,8,9,0,1,5,2,19,-3,Home,ORL,Orlando Magic,105 - 96
22024,1630595,22400432,2024-12-28,DET @ DEN,L,27,7,18,0.389,1,8,0.125,2,2,1.0,1,1,2,8,0,0,3,3,17,-12,Road,DEN,Denver Nuggets,121 - 134
22024,1630595,22400418,2024-12-26,DET @ SAC,W,38,9,24,0.375,4,11,0.364,11,12,0.917,0,4,4,10,0,0,3,4,33,8,Road,SAC,Sacramento Kings,114 - 113
22024,1630595,22400404,2024-12-23,DET @ LAL,W,35,9,25,0.36,0,5,0.0,2,2,1.0,2,3,5,10,1,0,5,2,20,-11,Road,LAL,Los Angeles Lakers,117 - 114
22024,1630595,22400387,2024-12-21,DET @ PHX,W,36,9,19,0.474,3,8,0.375,7,9,0.778,0,1,1,13,2,2,4,4,28,7,Road,PHX,Phoenix Suns,133 - 125
22024,1630595,22400360,2024-12-19,DET vs. UTA,L,39,13,23,0.565,3,8,0.375,4,4,1.0,0,4,4,7,1,4,4,6,33,-4,Home,UTA,Utah Jazz,119 - 126
22024,1630595,22401221,2024-12-16,DET vs. MIA,W,42,7,17,0.412,3,6,0.5,3,5,0.6,1,10,11,18,0,1,4,2,20,9,Home,MIA,Miami Heat,125 - 124
22024,1630595,22401205,2024-12-12,DET @ BOS,L,35,9,22,0.409,0,4,0.0,0,0,0.0,1,7,8,8,0,1,3,1,18,-19,Road,BOS,Boston Celtics,99 - 123
22024,1630595,22400343,2024-12-07,DET @ NYK,W,35,9,17,0.529,5,8,0.625,6,7,0.857,2,8,10,15,1,0,3,4,29,17,Road,NYK,New York Knicks,120 - 111
22024,1630595,22400319,2024-12-04,DET @ BOS,L,34,11,21,0.524,3,9,0.333,2,2,1.0,2,7,9,14,0,1,6,5,27,-7,Road,BOS,Boston Celtics,120 - 130
22024,1630595,22400052,2024-12-03,DET vs. MIL,L,33,9,16,0.563,3,6,0.5,2,6,0.333,1,4,5,6,1,0,4,2,23,-20,Home,MIL,Milwaukee Bucks,107 - 128
22024,1630595,22400045,2024-11-29,DET @ IND,W,33,10,19,0.526,4,6,0.667,0,0,0.0,0,6,6,11,2,0,6,3,24,13,Road,IND,Indiana Pacers,130 - 106
22024,1630595,22400260,2024-11-21,DET @ CHA,L,37,9,26,0.346,2,9,0.222,7,9,0.778,4,3,7,10,1,0,5,2,27,-3,Road,CHA,Charlotte Hornets,121 - 123
22024,1630595,22400244,2024-11-18,DET vs. CHI,L,36,8,17,0.471,4,7,0.571,6,9,0.667,0,6,6,10,0,0,3,3,26,-5,Home,CHI,Chicago Bulls,112 - 122
22024,1630595,22400237,2024-11-17,DET @ WAS,W,31,7,15,0.467,2,4,0.5,5,5,1.0,2,8,10,10,5,1,2,2,21,18,Road,WAS,Washington Wizards,124 - 104
22024,1630595,22400011,2024-11-15,DET @ TOR,W,36,6,21,0.286,2,9,0.222,1,2,0.5,2,4,6,10,1,0,4,2,15,-10,Road,TOR,Toronto Raptors,99 - 95
22024,1630595,22400223,2024-11-13,DET @ MIL,L,43,13,34,0.382,5,10,0.5,4,4,1.0,2,5,7,11,2,3,6,4,35,-4,Road,MIL,Milwaukee Bucks,120 - 127
22024,1630595,22400002,2024-11-12,DET vs. MIA,W,38,6,15,0.4,2,7,0.286,7,7,1.0,0,7,7,9,0,2,7,1,21,-2,Home,MIA,Miami Heat,123 - 121
22024,1630595,22400201,2024-11-10,DET vs. HOU,L,36,10,21,0.476,2,4,0.5,4,6,0.667,0,8,8,9,0,1,4,3,26,-6,Home,HOU,Houston Rockets,99 - 101
22024,1630595,22400185,2024-11-08,DET vs. ATL,W,36,8,17,0.471,1,4,0.25,5,5,1.0,1,10,11,13,1,1,7,2,22,3,Home,ATL,Atlanta Hawks,122 - 121
22024,1630595,22400169,2024-11-06,DET @ CHA,L,38,9,23,0.391,0,4,0.0,2,2,1.0,1,9,10,10,0,0,2,5,20,-1,Road,CHA,Charlotte Hornets,107 - 108
22024,1630595,22400156,2024-11-04,DET vs. LAL,W,36,7,17,0.412,1,5,0.2,2,5,0.4,2,9,11,11,0,0,3,1,17,14,Home,LAL,Los Angeles Lakers,115 - 103
22024,1630595,22400151,2024-11-03,DET @ BKN,W,35,8,13,0.615,1,4,0.25,2,3,0.667,1,5,6,5,0,0,7,3,19,11,Road,BKN,Brooklyn Nets,106 - 92
22024,1630595,22400134,2024-11-01,DET vs. NYK,L,32,10,19,0.526,2,4,0.5,0,0,0.0,0,6,6,6,0,1,1,1,22,-19,Home,NYK,New York Knicks,98 - 128
22024,1630595,22400120,2024-10-30,DET @ PHI,W,37,6,15,0.4,4,8,0.5,6,6,1.0,1,4,5,7,1,1,5,2,22,12,Road,PHI,Philadelphia 76ers,105 - 95
22024,1630595,22400105,2024-10-28,DET @ MIA,L,35,9,18,0.5,4,7,0.571,2,3,0.667,1,7,8,6,2,1,5,4,24,-7,Road,MIA,Miami Heat,98 - 106
22024,1630595,22400089,2024-10-26,DET vs. BOS,L,41,9,22,0.409,2,8,0.25,1,3,0.333,0,6,6,10,1,4,7,2,21,3,Home,BOS,Boston Celtics,118 - 124
22024,1630595,22400080,2024-10-25,DET @ CLE,L,35,14,24,0.583,2,6,0.333,3,3,1.0,2,2,4,6,0,0,9,4,33,-14,Road,CLE,Cleveland Cavaliers,101 - 113
22024,1630595,22400063,2024-10-23,DET vs. IND,L,37,10,23,0.435,2,6,0.333,6,6,1.0,0,5,5,8,1,0,2,2,28,-9,Home,IND,Indiana Pacers,109 - 115
