GAME_DATE,Adversary,WL,Home or road,Score
2023-10-25,Miami Heat,L,road,102 - 103
2023-10-27,Charlotte Hornets,W,road,111 - 99
2023-10-28,Chicago Bulls,W,Home,118 - 102
2023-10-30,Oklahoma City Thunder,L,road,112 - 124
2023-11-01,Portland Trail Blazers,L,Home,101 - 110
2023-11-02,New Orleans Pelicans,L,road,116 - 125
2023-11-05,Phoenix Suns,L,Home,106 - 120
2023-11-06,Golden State Warriors,L,Home,109 - 120
2023-11-08,Milwaukee Bucks,L,road,118 - 120
2023-11-10,Philadelphia 76ers,L,Home,106 - 114
2023-11-12,Chicago Bulls,L,road,108 - 119
2023-11-14,Atlanta Hawks,L,Home,120 - 126
2023-11-17,Cleveland Cavaliers,L,road,100 - 108
2023-11-19,Toronto Raptors,L,road,113 - 142
2023-11-20,Denver Nuggets,L,Home,103 - 107
2023-11-24,Indiana Pacers,L,road,113 - 136
2023-11-27,Washington Wizards,L,Home,107 - 126
2023-11-29,Los Angeles Lakers,L,Home,107 - 133
2023-11-30,New York Knicks,L,road,112 - 118
2023-12-02,Cleveland Cavaliers,L,Home,101 - 110
2023-12-06,Memphis Grizzlies,L,Home,102 - 116
2023-12-08,Orlando Magic,L,road,91 - 123
2023-12-11,Indiana Pacers,L,Home,123 - 131
2023-12-13,Philadelphia 76ers,L,Home,111 - 129
2023-12-15,Philadelphia 76ers,L,road,92 - 124
2023-12-16,Milwaukee Bucks,L,road,114 - 146
2023-12-18,Atlanta Hawks,L,road,124 - 130
2023-12-21,Utah Jazz,L,Home,111 - 119
2023-12-23,Brooklyn Nets,L,road,115 - 126
2023-12-26,Brooklyn Nets,L,Home,112 - 118
2023-12-28,Boston Celtics,L,road,122 - 128
2023-12-30,Toronto Raptors,W,Home,129 - 127
2024-01-01,Houston Rockets,L,road,113 - 136
2024-01-03,Utah Jazz,L,road,148 - 154
2024-01-05,Golden State Warriors,L,road,109 - 113
2024-01-07,Denver Nuggets,L,road,114 - 131
2024-01-09,Sacramento Kings,L,Home,110 - 131
2024-01-10,San Antonio Spurs,L,Home,108 - 130
2024-01-12,Houston Rockets,L,Home,110 - 112
2024-01-15,Washington Wizards,W,road,129 - 117
2024-01-17,Minnesota Timberwolves,L,Home,117 - 124
2024-01-20,Milwaukee Bucks,L,Home,135 - 141
2024-01-22,Milwaukee Bucks,L,Home,113 - 122
2024-01-24,Charlotte Hornets,W,Home,113 - 106
2024-01-27,Washington Wizards,L,Home,104 - 118
2024-01-28,Oklahoma City Thunder,W,Home,120 - 104
2024-01-31,Cleveland Cavaliers,L,road,121 - 128
2024-02-02,Los Angeles Clippers,L,Home,125 - 136
2024-02-04,Orlando Magic,L,Home,99 - 111
2024-02-07,Sacramento Kings,W,road,133 - 120
2024-02-08,Portland Trail Blazers,W,road,128 - 122
2024-02-10,Los Angeles Clippers,L,road,106 - 112
2024-02-13,Los Angeles Lakers,L,road,111 - 125
2024-02-14,Phoenix Suns,L,road,100 - 116
2024-02-22,Indiana Pacers,L,road,115 - 129
2024-02-24,Orlando Magic,L,Home,109 - 112
2024-02-26,New York Knicks,L,road,111 - 113
2024-02-27,Chicago Bulls,W,road,105 - 95
2024-03-01,Cleveland Cavaliers,L,Home,100 - 110
2024-03-03,Orlando Magic,L,road,91 - 113
2024-03-05,Miami Heat,L,road,110 - 118
2024-03-07,Brooklyn Nets,W,Home,118 - 112
2024-03-09,Dallas Mavericks,L,Home,124 - 142
2024-03-11,Charlotte Hornets,W,Home,114 - 97
2024-03-13,Toronto Raptors,W,Home,113 - 104
2024-03-15,Miami Heat,L,Home,95 - 108
2024-03-17,Miami Heat,L,Home,101 - 104
2024-03-18,Boston Celtics,L,road,94 - 119
2024-03-20,Indiana Pacers,L,Home,103 - 122
2024-03-22,Boston Celtics,L,Home,102 - 129
2024-03-24,New Orleans Pelicans,L,Home,101 - 114
2024-03-25,New York Knicks,L,road,99 - 124
2024-03-27,Minnesota Timberwolves,L,road,91 - 106
2024-03-29,Washington Wizards,W,road,96 - 87
2024-04-01,Memphis Grizzlies,L,Home,108 - 110
2024-04-03,Atlanta Hawks,L,road,113 - 121
2024-04-05,Memphis Grizzlies,L,road,90 - 108
2024-04-06,Brooklyn Nets,L,road,103 - 113
2024-04-09,Philadelphia 76ers,L,road,102 - 120
2024-04-11,Chicago Bulls,L,Home,105 - 127
2024-04-12,Dallas Mavericks,W,road,107 - 89
2024-04-14,San Antonio Spurs,L,road,95 - 123
